concept,paper_count
gap junction,14374
neutral molecule,1898
algebraic equation,5451
gradient sensing,737
perpendicular magnetic,15715
exceptional lie group,435
multipartite entanglement structure,61
normative principle,724
spectral scaling,459
maximal lyapunov exponent,784
equilibrium fluctuation,387
computational electromagnetics,2809
spiral wave,2007
phase spectrum,2254
renormalization theory,773
de broglie wavelength,1484
chemical enhancement,1170
landau equation,5562
nonlinear photonics,1236
modest reduction,3324
regulation effect,2543
winding number,4450
relativistic quantum field,1746
intracellular localization,8879
resonant energy,3305
coin toss,927
nuclear force,3190
phase gate,1426
molecular solid,979
finite von neumann algebra,397
passive network,1249
radiative decay channel,89
embedding learning,1765
induced gravity,1451
nonlinear diffusion,6206
nondestructive method,3379
gravitational perturbation,730
temporal ordering,2801
line holography,969
wavefront shaping,2526
variational optimization,1165
neutrino mixing,6047
second order phase transition,2070
spontaneous polarization,8421
equational reasoning,641
laser mode,2621
spectral power,9792
high spatial coherence,346
real hilbert space,1602
glassy behavior,912
isotropic state,969
nonlocal correlation,647
reaction operator,78
brain cortex,6441
adaptive detection,2136
chiral phase,4017
gaussian unitary ensemble,1007
hyperbolic equation,3400
power exponent,1225
scaling exponent,6230
distributed bragg reflector,5006
pseudospectral method,2739
hybrid waveguide,784
emission cone,387
signal filtering,2459
space dimension,9227
navigation method,3274
matrix product state,1819
light phase,3623
cubic symmetry,4000
convex mixture,95
solvated electron,1291
cell length,6230
bottom electrode,4190
formation epoch,768
wave particle,1144
microwave band,1820
duality relation,1489
morse theory,3271
finite conductivity,2010
price algorithm,928
compton profile,908
twin beam,191
bitcoin mining,4320
peculiar character,945
beltrami field,71
compton scatter,988
band gap edge,134
ambient atmosphere,5921
fermi function,419
symbol error rate,5582
weighted network,2293
nonequilibrium state,1744
amorphous matrix,3819
neutron polarization,718
extreme ultraviolet spectroscopy,176
electro magnetic field,117
radiation resistance,9814
soliton amplitude,370
adaptive feedback,4526
ads space,1585
dirac system,772
deteriorating effect,945
adiabatic conversion,82
thz regime,1344
heavy ion collision,1475
gradient magnetic field,1169
harmonic trap,3436
temperature dependent behavior,346
crystal formation,7645
circular ring,3054
prototypical system,973
laser cooling,6000
wavelength channel,1176
crystal face,1791
anisotropic harmonic trap,65
poisson bracket,2642
interaction free,682
spin ordering,2095
pharmaceutical drug,3585
allan deviation,1896
transient absorption spectroscopy,9590
long short term memory network,698
trajectory tracking problem,1483
triangular structure,1622
coordination game,1558
euclidean volume,232
inverse matrix,3444
dirac spin,399
diffeomorphic image,296
circuit complexity,4665
path integral formula,128
rooted tree,1794
polynomial quantum speedup,20
lepton generation,149
plasmonic coupling,1588
spin echo signal,125
geometric invariant theory,872
spectral density function,2588
frustrated magnet,626
metal absorption,1639
chemical imaging,3966
dielectric nanophotonics,149
biochemical sensing,1983
mixed integer nonlinear programming problem,407
telecommunications band,191
quantum detector,387
harmonic interaction,572
transmission band,1582
point representation,1360
lattice geometry,2079
strong coupling field,108
landau quantization,995
radial scale,588
van der pol oscillator,1828
visible band,2236
quantum mechanical spin,127
prototype cell,291
polynomial optimization,1724
degenerate fermi gas,645
sparse graph,1775
traversable wormhole,1048
electric polarisation,186
space propulsion,4072
incoherent scattering,2367
high image resolution,460
fermionic behavior,60
monolayer system,503
optical microresonator,378
particle swarm optimizer,2440
nmr relaxation,7079
electrical dipole,598
minimum weight perfect matching,174
dipole force,628
dynamic group,2342
electron motion,3510
grothendieck group,933
low energy model,118
genetic activation,452
rational map,1261
spatial tuning,1039
poincare invariance,254
circular patch,4392
word sequence,1083
radial momentum,475
optical magnetometer,170
excitation spectroscopy,2899
solar light,10479
coherence decay,711
thermal wavelength,434
transducer array,2571
channel decoding,1683
scattering power,1316
motion pattern,3396
semantic characterization,487
radiative efficiency,2243
geometrical complexity,1473
magnon mode,571
dirac theory,1141
self propulsion,205
gamma function,4794
symmetric cryptography,1452
crystalline matrix,1042
classification neural network,471
error rate reduction,1109
antiperiodic boundary condition,61
jordan chain,35
orthogonal transformation,1472
list decoding algorithm,265
fragmented state,697
optical coherent control,111
measurement problem,5620
strong field ionization,474
blood viscosity,10904
trap frequency,530
triatomic molecule,637
convolutional filter,372
exciton diffusion,2663
reorganization energy,3725
secure communication channel,476
binary ldpc code,133
gaussian broadcast channel,486
racemic mixture,4240
holographic approach,717
hybridization gap,657
fractional frequency stability,408
free space optical communication,1873
transverse separation,326
monoidal structure,592
variate polynomial,235
low plasma density,308
wavelength multiplexing,1213
triangular matrix,2905
error correlation,1242
wiener index,5799
wave turbulence,3608
rapid phase transition,261
collective decoherence,139
benchmark function,978
intraband transition,405
gate modulation,630
scalar function,2162
momentum correlation,904
transition dipole moment,2515
covariant field,626
differential detection,3045
rotation vector,1254
parity function,265
perturbation correction,310
langevin theory,316
fermion production,445
metric information,1063
radiation heat transfer,3839
orthogonal geometry,402
deconvolution method,3858
generic structure,2907
radiative transport,2235
laue geometry,287
fractal lattice,324
longitudinal force,1715
particle ensemble,412
spin density matrix,1353
weak intensity,1229
coordinate operator,113
enveloping algebra,3398
displacement sensing,1187
bayesian game theory,109
binary mass,1249
biological sensor,637
refractive index difference,1262
memory circuit,964
acoustic frequency,2384
memory state,1457
photothermal response,753
graph product,493
resonant production,1633
orbital structure,1343
silicon core,799
canary island,1928
circuit functionality,586
transverse correlation,375
resonant energy transfer,1978
authentication code,2264
dielectric liquid,2037
boolean formula,1134
quantum dense coding,328
quantum langevin equation,363
silicon nanostructures,1984
insulator interface,1151
network transmission,5304
symmetry violation,1658
transverse magnetic mode,367
adic representation,304
energy uncertainty,1196
diffusion matrix,1053
complex vector space,760
multicore fiber,1769
partial difference equation,265
periodic sampling,1381
electromagnetic scattering problem,592
cortical neuron,2769
zero knowledge proof,496
digit recognition,4819
optical absorption measurement,220
tunnel ionization,699
decoding mechanism,638
heisenberg equation,465
alumina membrane,1340
friction kernel,120
dressing effect,203
cellular space,937
entanglement distillation,858
cavity mode volume,72
inelastic diffraction,254
radiation trapping,887
differential motion,930
coupled cavity,2423
combinatorial optimisation,1945
steady state energy,201
hamming space,844
rank information,399
low pulse energy,339
transverse ising chain,137
airy pulse,154
feynman integral,789
flourishing field,613
drosophila wing,1869
ordering problem,1272
positivity preservation,189
piecewise function,1077
magnetic effect,3853
light sheet fluorescence microscopy,1529
neutrino mass spectrum,673
nonlinear thomson scattering,218
differential matrix equation,72
fourier integral,3120
feedback control algorithm,979
nanocrystalline silicon,2891
structured field,873
polar coding,764
maxwell equation,1846
quantum topology,600
magnetic flux threading,249
entanglement spectrum,1476
linear perturbation analysis,448
vector wave,1634
overhauser field,237
pointing stability,943
monte carlo dropout,1423
exciton absorption,1438
inverse function,3280
spontaneous supersymmetry breaking,330
weak electromagnetic field,186
molecular length,1995
cnn algorithm,3195
ohms law,237
spacetime quantization,196
thermal photon,675
rational fraction,488
symbol recognition,981
dft functional,606
interaction state,297
periodic optical lattice,77
light field reconstruction,314
bipartite state,593
back transformation,247
thermal light,1448
nonlinear metasurfaces,482
photovoltaic response,1220
linear matrix equation,508
tungsten disulphide,414
nonlinear lattice,831
quantum zeno effect,1643
collective state,936
circular cavity,1233
reciprocity relation,636
semiconductor microcavity,1172
multidimensional euclidean space,134
pure gauge theory,705
knot invariant,510
dipolar excitation,113
antiferromagnetic molecular ring,9
rydberg series,2437
euclidean lattice,607
surface wave propagation,1444
recursion theory,1365
group character,376
finite damping,113
permeability tensor,1567
optical chip,574
phase dynamic,1152
encoder model,1129
bogoliubov theory,1259
hilbert curve,981
stray electric field,50
wishart distribution,1202
partial affirmative answer,80
quantum reference frame,178
trajectory equation,459
high frequency regime,514
soliton interaction,831
boson interaction,422
dipolar interaction energy,80
gelfand triple,135
spatial network,3533
superfluid transition,1729
chirp signal,2166
bayesian formulation,1639
gaussian laser beam,1624
dynamical diffraction,1238
tensor calculus,1312
markov chain sampling,199
everett interpretation,240
entropic uncertainty,1153
planar cavity,403
jacobi matrix,1251
degenerate band edge,145
xuv irradiation,117
third order nonlinearities,127
superfluid behavior,190
planetary surface,3302
color fundus image,196
superradiant amplification,120
visible frequency,599
magnetic transport,618
newtonian regime,381
algebraic decay,1090
secret shared key,55
ferromagnetic core,945
dissipated power,2089
relation matrix,1241
pulsed radiation,1459
tensor completion problem,242
photon lifetime,757
hf molecule,378
periodic forcing,2315
bipartite lattice,384
temporal fluctuation,1062
tensor formulation,429
bijective transformation,122
perturbative quantum field theory,695
harmonic energy,789
base state,1745
ladder system,989
query model,1384
zener model,1014
schur function,539
tc model,415
chaotic orbit,298
microwave polarization,289
ramsey interferometry,532
fp cavity,715
quasi linear,547
matrix power,521
rotational flow,1872
adiabatic population transfer,177
rabi regime,44
operator expression,145
vacuum pair creation,38
quadratic dispersion,623
nonlinear source,1206
matrix diagonalization,1020
methane absorption,778
covariant theory,676
detection mode,2469
neural computing,1930
homogeneous lattice,194
topological lattice,429
semiconducting surface,138
non essential amino acid,70
infinite dimensional hilbert space,498
kolmogorov distance,369
macroscopic quantum coherence,484
high vacuum condition,339
mechanical instability,2603
graph optimization,2694
multilayer graph,282
retardation effect,1248
high speed photography,1650
ordered crystal,784
band hamiltonian,394
harmonic bath,261
undeformed state,389
flexural wave,1559
nonreciprocal transport,298
entanglement sudden birth,66
high frequency gravitational wave,68
excitation fluence,443
resonant photoemission,1460
algebraic quantum theory,78
quantum wells grown,1923
optical microcavities,1610
magnetic information,1141
laser induced damage,1454
robertson walker,227
strong coupling effect,389
fermion density,364
discrete modulation,300
multimode laser,1165
lennard jones,442
euler angle,1240
crystalline array,296
grover algorithm,335
twisted nematic liquid crystal,871
graphene system,761
lorentzian function,506
nano structure,1748
particle sorting,906
surface phonons,1165
color code,5473
nanoscale heat transfer,278
delay differential equation,2915
graph state,738
peculiar phase,249
slow group velocity,176
chiral ground state,59
magnetic momentum,352
transmission electron microscopy image,604
macroscopic motion,444
finite fourier series,389
topological magnetoelectric effect,160
antiferromagnetic semiconductor,428
abelian gauge field,1217
quantum rabi model,745
combinatorial laplacian,287
polyatomic molecule,926
conical diffraction,479
direct product theorem,88
fresnel zone,4428
markov semigroup,441
electroweak interaction,902
charging effect,1134
hierarchical method,2268
quantum perturbation theory,189
paraxial wave equation,548
spin magnet,66
molecular disorder,485
coherent ensemble,151
phase qubit,373
harmonic oscillator interacting,110
near infrared emission,445
collusion attack,932
phase shift parameter,83
sampling phase,1285
microwave propagation,1405
cavity dissipation,180
angular intensity distribution,281
electron velocity distribution,1430
longitudinal acoustic phonon,228
heat capacity measurement,405
solid immersion lens,828
quantum compilation,227
cooling regime,551
superlattice structure,2278
coherent modulation,782
high filling factor,160
evanescent state,31
anderson localization regime,51
chiral liquid crystal,821
low earth orbit satellite,1526
optimal oracle complexity,42
silicon avalanche photodiode,362
quantum back action,56
time translation symmetry,249
quadratic phase,1519
galilean transformation,589
resonant field,1401
surface trap,1265
atomic field,324
sfg spectrum,132
encryption function,472
pseudo hermitian,47
magnetic dipolar coupling,88
quadrupolar coupling,1132
bright field image,567
langevin formalism,147
cuprate superconductor,1495
spin liquid ground state,358
orthogonal linear polarization,288
thermal noise reduction,91
sphere packing problem,169
supersonic beam,976
xy spin,885
tomographic measurement,442
genuine entanglement,291
hermitian system,936
lorentzian lineshape,219
helicity flip,347
pochhammer symbol,181
maxwell theory,2653
fluctuation relation,531
feedback mode,1042
helmholtz operator,409
telecommunication wavelength range,147
cumulant ratio,102
freedom hamiltonian,419
semiconductor cavity,155
propagation invariant,167
double transition,807
vc model,269
diffuse radiation,2616
thermal absorption,678
combinatorial enumeration,380
strong optical anisotropy,216
magnetic quadrupole field,71
perturbative series,1427
resolved spectrum,847
quantum frequency conversion,471
directed tree,563
spectral transition,597
projection measurement,294
haar distribution,62
resultant equation,233
pseudo random number,1050
absorption lineshape,219
nanowire quantum dot,205
spacetime manifold,1176
microwave signal processing,424
quantum networking,1204
double group,320
resonant period,231
semi markov,287
dielectric metamaterials,625
light trajectory,114
linear constitutive equation,108
reflectance measurement,1771
gw signal,1071
dissimilar material,1207
stm current,100
ising transition,292
quadrupole excitation,207
cartan involution,108
ion lattice,200
molecular scaffold,1962
collective excitation mode,38
resistive force,1294
line holographic microscopy,245
stability group,259
antibody structure,731
differential flux,523
microwave structure,250
azimuthal perturbation,57
electron beam induced deposition,836
double period,234
decay matrix,726
bilinear function,253
macroscopic quantum entanglement,61
molecular absorption line,139
sensitive band,415
adjoint matrix,448
solid state sensor,168
magnetic enhancement,635
thz spectrum,844
spherically symmetric gravitational field,140
geometric function,1132
boundary magnetic field,157
dirac spinor,758
thermal de broglie wavelength,192
interparticle repulsion,191
angle resolved photoemission spectroscopy,945
photon shot noise limit,39
decay spectrum,808
entangled squeezed state,17
high resolution spectrum,568
parallel plate geometry,412
feynman formula,80
thermodynamic uncertainty relation,441
asymmetric membrane,904
classical trajectory monte carlo,675
coherent scalar field,48
transverse gradient,627
monte carlo optimization,721
entropy decay,265
squeezing transformation,85
tutte polynomial,1004
strong radiation field,208
magnetic field correlation,135
particle phase space,368
charge inversion,977
low rank representation,270
energy perturbation,2912
pure nash equilibrium,722
continuum equation,310
time domain characterization,162
nonradiative decay rate,371
ultraviolet visible,1912
time frequency domain,379
optical atomic clock,300
synthetic cell,1266
thermodynamical model,522
eikonal equation,2222
orbital moment,1350
qubit concurrence,28
charge stability,874
special linear lie algebra,66
photorealistic image,373
strong material dispersion,34
policy gradient algorithm,1422
op amp,1547
self correcting,168
faraday law,193
magnetic field plane,130
radiation sector,71
dissipative kerr soliton,287
parity superselection rule,27
neutron interferometer,354
lowest energy conformation,349
higher photon energy,307
weak coupling strength,88
correlation entropy,375
fictitious particle,84
quantum bit commitment,338
covalent interaction,3864
optical spin hall effect,128
nonlinear polarization rotation,1284
coding mechanism,796
longitudinal displacement,1614
coherent channel,235
kramers theory,224
brillouin zone folding,158
deformed oscillator,467
finite difference simulation,432
frequency entanglement,266
weak damping,827
mathieu function,186
time dependent gauge,33
fractional angular momentum,77
flow vorticity,397
mutual collision,175
quantum representation,500
gravitomagnetic field,404
dielectric antenna,416
covering map,482
compact qed,315
entanglement harvesting,210
discrete phase space,211
microwave transition,265
photon spontaneous emission,61
controversial problem,723
quantum state reduction,244
dispersive radiation,126
ternary tree,253
raman fingerprint,284
bitwise operation,126
mc sampling,160
vector coherent state,88
anderson insulator,576
geometric transform,278
weak kerr nonlinearity,41
reconcile theory,265
poisson binomial distribution,111
dispersive fourier transform,524
trace function,448
plasmonic metal nanoparticles,542
singular kernel,1467
deformation function,464
strong kerr nonlinearity,65
curved manifold,525
hyperbolic fixed point,246
entropic uncertainty bound,24
scalar matrix,195
coherence dynamic,103
nonlinearity enhancement,262
thermodynamic relation,429
reduction rule,344
vertex coloring problem,295
scalar quantum field,772
nanostructured graphene,435
dynamical phase space,78
dispersion theory,1492
operator convex function,51
dipolar coupling strength,61
band gap material,744
tree like structure,128
closure space,170
solid state spin,129
collective lamb shift,55
hlich hamiltonian,3
ellipsometry measurement,231
covariant expression,123
double fourier transform,238
lagrangian duality,707
second order correlation,425
cavity enhancement,415
tunneling theory,552
weak coupling perturbation theory,45
femtosecond laser excitation,654
unitary coupled cluster theory,38
trapped molecule,64
bose einstein condensation,250
bilinear operator,277
band oscillation,291
optical quantum memory,219
quantum radiation,773
spin cluster,602
solid state commun,283
biological measurement,381
energy ordering,513
orbital momentum,1089
umklapp scattering,783
relativistic time dilation,722
joint probability distribution function,287
multicomponent plasma,470
electrical gate,185
negation operator,192
face centered cubic lattice,209
skein theory,180
ks entropy,76
generative adversarial net,232
spheroidal particle,320
superconducting quantum processor,565
flux pattern,560
continuity theorem,375
graphene fermi energy,107
gravitational vacuum,292
optical frequency division,344
radial quantum number,203
magneto electric coupling,19
cloaking effect,246
phase coherence time,188
logical formula,511
low viscosity regime,40
operational network,990
gradient perturbation,191
symmetric decomposition,134
dc dc converter,169
strong interlayer coupling,361
strong coulomb repulsion,315
communication complexity problem,67
local group velocity,87
quantum lithography,183
tensor space,711
lattice construction,431
geometric phase gate,78
braitenberg vehicle,106
self phase modulation,594
wheel graph,448
light transport simulation,197
brillouin zone corner,64
microscopic hamiltonian,698
dielectric boundary,457
fem solver,524
topological quantum spin liquid,37
coherent summation,415
transition wavelength,430
strong temporal correlation,218
second harmonic generation measurement,102
hamiltonian symmetry,102
exciton fine structure splitting,82
graded index fiber,233
time dependent oscillation,13
polariton condensation,578
bp decoding,586
direct stochastic optical reconstruction microscopy,487
variational expression,341
magnetic dip,476
relativistic energy density,251
stokes line,329
ionization effect,480
adiabatic ground state,96
time complexity polynomial,29
nuclear abundance,295
nonlinear saturation effect,16
dimer molecule,238
symplectic toric manifold,56
spin population,706
quantum localization,474
local charge density,365
semi classical state,2
molecular bonding,986
pooling information,389
bath correlation function,83
mode projection,235
magneto optical trap,159
radiative interaction,332
hartree fock exchange,8
time dependent density matrix renormalization group,28
plasma wakefield accelerator,559
interactive protocol,493
twin problem,153
loop integral,404
noncommutative group,63
monolayer transition metal dichalcogenide,294
self lensing,39
linearized kinetic equation,73
sparse spectrum,335
fully connected graph,329
heralded single photon source,163
anyonic phase,29
space noncommutativity,215
homogeneous tree,350
universal density functional,79
vertex transitive,253
weak localization regime,90
pseudo random number generator,548
self amplified spontaneous emission,126
isotropic space,442
domain walls separating,154
quantum gauge field theory,60
cnf formula,533
high dimensional representation,125
interband excitation,326
photon acceleration,222
cooling transition,340
spin correlation coefficient,77
polar interaction,666
entangled photon pair generation,167
concurrent composition,195
symmetric superposition,72
femtosecond temporal resolution,267
maxwell demon,398
sin membrane,315
direct optical excitation,161
fiducial vector,40
astronomical spectrograph,174
integrable lattice,696
weyl field,96
spinor system,50
esr measurement,424
unstable equilibrium point,624
quantum transformation,174
spectral determinant,377
superlattice geometry,75
random regular graph,207
qsdc protocol,103
friction tensor,163
classical master equation,149
mode energy,1499
irregular singularity,232
photon coherent state,35
frustration effect,334
integer factoring,250
bit commitment protocol,143
magnetization field,385
live organism,356
piezoelectric interaction,136
xuv radiation,733
trapped mode,518
minimal uncertainty state,3
quantum witness,79
channel estimation phase,99
inverse mass,448
monolayer tmds,499
additive code,139
long range coulomb interaction,169
glide symmetry,387
logical proposition,135
coherent spin control,95
vector spin,498
scaling transition,135
logical gate,420
vectorial field,223
explosive percolation,257
active optic,94
poisson random variable,365
cnot gate operation,27
joint weak measurement,12
vuv photon,201
subcellular dynamic,48
directional interaction,584
optical quantum network,28
fractal dimension analysis,1026
variational expansion,63
spectral phase interferometry,255
red detuning,104
topological vortex,360
rotational correction,251
weyl function,283
factorial moment,366
symmetries broken,121
nanoscale precision,692
ir duality,47
broken symmetry ground state,20
ultrashort pulse propagation,333
erbium doped fiber laser,330
coherent laser field,84
quantum logical gate,33
microwave wavelength,153
higher spectral resolution,895
diagrammatic reasoning,629
trapped fermi gas,282
computer assisted design,563
distillation protocol,257
spatial walk,155
azimuthal number,194
wave vector space,179
polynomial reconstruction,385
invisibility cloaking,320
wigner phase space distribution,27
polarization dependency,333
laser standing wave,104
rogue wave formation,111
nodal chain,111
spin mapping,108
charge density operator,87
crystalline whispering gallery mode resonator,37
polar material,604
ferromagnetic heisenberg model,176
transient oscillation,346
homomorphism problem,185
ordered algebraic,151
discrete fourier transform matrix,78
power law nonlinearity,303
entangled state generation,72
electric field orientation,197
rademacher function,34
chaotic source,117
temporal soliton,194
quantum gravity phenomenology,371
laser compton scattering,301
localized particle,427
drift matrix,72
coherent mechanism,362
geometric operator,523
covariant channel,17
ground rotational state,87
free particle motion,133
polarisation measurement,188
quadratic stark shift,64
bifurcation mechanism,351
topological operator,121
entanglement monogamy,110
singular density,195
spatial probability distribution,227
particle polydispersity,152
dipolar structure,360
phase rigidity,261
gapless dirac cone,38
sonic black hole,126
probabilistically checkable proof,74
pde solution,484
fermion dynamic,16
reasoning rule,334
anisotropic photonic crystal,136
ns model,246
linear optical circuit,72
collective attack,141
dense manifold,127
material excitation,111
lattice quantum field theory,122
scaling operator,186
complex chemical system,132
temporal transition,551
anisotropic space,379
gaussian variable,269
dirac mode,60
parallel transport condition,25
truncated exponential distribution,193
covariant equation,202
quantum multiparameter estimation,45
classical optical communication,81
beltrami equation,532
lobachevsky space,244
trion transition,54
large electric dipole moment,95
quantum deficit,59
